Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Screws","For fastening components to the the rivet nuts. 225 M5, 5 M4, 100 M3",330,7.73,"https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)","JLCMC"
"PEI sheet","The print surface that goes on top of the print bed. 310x310",1,14.63,"https://www.aliexpress.com/item/1005006866749353.html?spm=a2g0o.productlist.main.17.7784qUMIqUMIYV&algo_pvid=93b61df2-3243-437c-82de-90710947c82e&algo_exp_id=93b61df2-3243-437c-82de-90710947c82e-16&pdp_ext_f=%7B%22order%22%3A%221253%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2112.09%211.45%21%21%2156.65%216.79%21%402101e2b417752670140866859eb963%2112000051559315778%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843419&curPageLogUid=riy6tkaUbw0i&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006866749353%7C_p_origin_prod%3A","Aliexpress"
"Polycarbonate","Polycarbonate sheet for the door.",1,30.00,"https://www.bunnings.com.au/suntuf-400-x-400-x-8mm-clear-palsun-polycarbonate-sheet-8mm_p1010483","Bunnings"
"Heat set inserts","Attaching electronics case lid",4,0.17,"https://jlcmc.com/product/s/E04/EMLU/insert-nut-through-hole","JLCMC"
"Rivet nuts","Nuts for fastening things to the square steel tubing. Need 175 M5, 5 M4, 100 M3",280,7.59,"https://jlcmc.com/product/s/E12/EMJE/rivet-nut-pull-through-ribbed-dome-head","JLCMC"
"MK8 extruder","The MK8 extruder pushes filament into the hotend using the Nema 17 motor",1,4.33,"https://www.aliexpress.com/item/1005007542803374.html?spm=a2g0o.productlist.main.30.4871298e6622Ky&algo_pvid=c56a8ecb-e1aa-4c08-83e4-934475fec138&algo_exp_id=c56a8ecb-e1aa-4c08-83e4-934475fec138-29&pdp_ext_f=%7B%22order%22%3A%22642%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%216.64%211.45%21%21%214.52%210.99%21%402103212317752660219846218e3305%2112000041225614025%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843419&curPageLogUid=lLozSRLeO441&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007542803374%7C_p_origin_prod%3A","Aliexpress"
"PTC heater","The space heater for the heated chamber of the printer to enable printing harder materials. 24v 400w.",1,17.00,"https://www.aliexpress.com/item/1005007442989854.html?spm=a2g0o.productlist.main.1.71f3a8d0sZSDY&algo_pvid=2ed4a76d-82cf-48c9-8808-acc357ff1653&algo_exp_id=2ed4a76d-82cf-48c9-8808-acc357ff1653-0&pdp_ext_f=%7B%22order%22%3A%224885%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2116.43%215.96%21%21%2111.09%214.02%21%402103212517748608234258144e3112%2112000040774614547%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827888&curPageLogUid=vXhUvAlolt2a&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007442989854%7C_p_origin_prod%3A","Aliexpress"
"Heated bed","300x300 24v heated bed to heat up the print surface",1,25.00,"https://www.aliexpress.com/item/1005008233590835.html?spm=a2g0o.productlist.main.9.35cb6ab01pwLms&algo_pvid=a5394779-b4a1-40e8-9eea-16bd6e430344&algo_exp_id=a5394779-b4a1-40e8-9eea-16bd6e430344-8&pdp_ext_f=%7B%22order%22%3A%2298%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2118.09%2118.09%21%21%2184.53%2184.53%21%40210319b717748605717518699e414c%2112000044318998456%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=EuYcYv5fmPI0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008233590835%7C_p_origin_prod%3A","Aliexpress"
"Square steel tube","2mm thick 40x40 Galvanised square steel tubing is the frame for the printer. I will use 40x40 as it has greater strength. I will cut it to length, drill holes where necessary for mounting and then weld together. I will need 6m.",1,31.06,"https://www.rhssteelsupplies.com.au/hikashop-menu-for-categories-listing/product/3127-galvanised-square-hollow-box-section-40-x-40-x-2-5-gal-8-metres.html","RHS Steel Supplies"
"ACM panel","ACM panel will make the enclosure for the printer. I need to use ACM as it is the cheapest suitable material, as it must be able to contain the heat of the chamber without weakening. I will cut/bend the ACM to fit around the frame.",1,60.00,"https://plastix.com.au/product/aluminium-composite-panels/?attribute_pa_acp-colours=white-gloss-primer&attribute_pa_size=full-sheet-2440-x-1220mm-8x4","Plastix.com.au"
